Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
79,In-Store,2022-08-12,2022-09-01,2032.68,159097,4507,734
80,TV,2025-05-03,2025-05-28,2185.48,248728,5903,144
81,Social,2022-03-15,2022-03-24,3566.81,480564,24179,581
82,Online,2024-05-25,2024-06-18,3281.91,80540,2200,239
83,Email,2023-11-06,2023-11-29,5484.14,374815,20647,1188
84,TV,2025-03-16,2025-04-15,9878.3,263578,6089,208
85,TV,2023-08-12,2023-09-01,8554.08,146136,2650,131
86,TV,2023-12-26,2024-01-06,5845.03,282475,6561,196
87,In-Store,2023-01-04,2023-01-30,7231.58,111478,1120,92
88,In-Store,2025-07-04,2025-07-14,8095.86,227386,5098,612
89,In-Store,2025-02-21,2025-03-20,607.32,115480,3545,391
90,Social,2022-05-19,2022-06-04,5313.55,179829,14631,392
91,Email,2023-11-14,2023-12-01,7381.77,332957,48349,7647
92,Social,2023-02-02,2023-02-19,9261.66,261190,24367,1652
93,Email,2025-08-15,2025-08-26,1976.17,251496,34466,4129
94,Email,2023-11-18,2023-12-09,9314.0,39371,5126,455
95,TV,2025-10-20,2025-11-06,5590.91,119189,2316,53
96,In-Store,2023-12-26,2024-01-04,3164.37,26343,531,66
97,TV,2024-12-30,2025-01-11,6254.05,108240,2151,95
98,Social,2023-09-24,2023-10-23,7243.48,152342,8090,403
99,Email,2023-05-02,2023-05-20,8379.85,168664,9434,842
100,Online,2022-08-18,2022-09-05,7889.01,488860,12493,1005
101,In-Store,2024-09-15,2024-10-08,2307.01,494251,12111,2238
102,In-Store,2023-09-28,2023-10-15,7810.07,61512,2132,410
103,In-Store,2025-10-17,2025-10-28,7383.42,250841,5425,996
104,Social,2022-08-26,2022-09-02,9357.2,370213,32523,2351
105,Online,2023-11-14,2023-12-05,1479.48,411699,24512,1593
106,In-Store,2025-03-28,2025-04-13,3548.36,110949,2063,296
107,Online,2024-06-22,2024-07-20,3090.21,92573,3371,138
108,TV,2025-06-29,2025-07-23,1472.57,294441,4050,92
109,Social,2022-10-17,2022-11-15,5953.79,99797,2564,145
110,Email,2023-11-25,2023-12-19,981.9,25200,2179,300
111,Online,2022-08-05,2022-08-24,1318.14,215477,6623,580
112,Email,2025-04-28,2025-05-25,6355.0,173808,12145,920
113,Online,2025-10-05,2025-10-29,9749.98,406226,26756,2285
114,Email,2022-07-10,2022-08-08,1424.0,172734,19369,2756
115,In-Store,2024-08-11,2024-09-02,9500.76,85351,3058,471
116,In-Store,2024-01-15,2024-02-03,7146.34,358746,7142,1309
117,Email,2023-10-28,2023-11-18,787.51,259212,11287,1266
118,Social,2022-12-16,2023-01-01,6242.18,76791,4656,206
119,TV,2022-08-08,2022-08-25,6669.79,425462,5340,151
120,In-Store,2025-04-24,2025-05-14,6398.31,297283,4391,605
121,In-Store,2022-05-16,2022-06-02,8232.2,319838,7335,1449
122,TV,2025-03-07,2025-03-24,7094.26,100746,2172,28
123,Online,2025-03-21,2025-04-12,6125.55,252697,9987,477
124,Social,2024-06-30,2024-07-12,9580.89,46494,3155,192
125,Social,2025-05-06,2025-05-25,5195.8,356116,8873,293
126,Online,2022-10-12,2022-11-06,7692.24,356492,10321,851
127,TV,2024-03-09,2024-04-04,4748.02,117825,2596,58
128,Social,2025-03-13,2025-04-10,9225.77,237922,18420,1379
129,Online,2022-07-02,2022-07-27,6309.16,277609,12284,616
130,Social,2023-08-26,2023-09-03,9060.22,37854,759,40
131,Social,2024-01-06,2024-01-16,8723.96,133334,7271,402
132,Email,2025-07-04,2025-07-21,4357.31,238164,22724,3093
133,In-Store,2024-08-30,2024-09-10,5776.5,452146,17061,3084
134,In-Store,2022-11-12,2022-11-28,1775.64,47615,1402,136
135,Email,2024-09-23,2024-10-21,9762.26,81185,3260,435
136,TV,2024-05-01,2024-05-22,9337.95,336761,3197,97
137,Email,2025-02-04,2025-02-25,3875.42,107408,8697,443
138,In-Store,2024-10-17,2024-11-16,7265.23,151164,3374,491
139,Online,2024-01-22,2024-01-30,5897.42,379561,15985,1381
140,In-Store,2025-11-15,2025-11-24,7436.76,285989,11298,2237
141,TV,2023-07-27,2023-08-17,1243.23,476572,9651,191
142,Online,2025-07-15,2025-08-14,6998.7,292694,19869,1291
143,TV,2022-04-19,2022-05-06,7896.01,255822,4182,193
144,Social,2025-03-21,2025-04-20,4499.65,428498,18669,561
145,Social,2025-11-24,2025-12-20,7406.23,305544,12477,720
146,TV,2025-03-30,2025-04-11,990.39,162962,4110,143
147,Online,2023-08-11,2023-09-02,1704.8,50297,3575,222
148,Social,2022-09-29,2022-10-25,3114.56,144718,3058,81
149,In-Store,2022-12-24,2023-01-18,6761.98,203864,6979,777
150,In-Store,2023-04-29,2023-05-21,8094.03,461943,5078,1005
151,In-Store,2022-10-25,2022-11-20,8457.34,404663,16108,2777
152,Email,2023-05-03,2023-05-31,7396.99,97704,5403,785
153,Social,2023-12-08,2023-12-16,7677.1,70814,1713,81
154,Email,2024-09-02,2024-09-18,7588.43,404488,56909,4574
155,Email,2025-10-31,2025-11-29,5008.6,86100,8063,858
156,Email,2023-08-15,2023-09-05,6945.69,288005,32240,1783
157,Social,2024-12-24,2025-01-20,9583.74,236380,16272,962
158,Social,2023-07-13,2023-07-30,3037.33,61525,2487,136
159,In-Store,2024-08-02,2024-08-30,7475.98,318661,10552,1502
160,In-Store,2025-10-19,2025-11-17,3476.06,15545,469,84
161,Online,2022-01-25,2022-02-14,5490.01,369399,17271,994
162,In-Store,2023-08-04,2023-08-19,823.4,334742,4270,822
163,TV,2025-09-06,2025-09-19,6561.79,381235,11034,148
164,Email,2025-05-23,2025-06-03,6735.75,481805,51913,8016
165,In-Store,2023-01-14,2023-01-24,2906.69,254819,7597,676
166,Email,2024-07-17,2024-08-01,7076.1,360003,44059,4055
167,Social,2022-11-28,2022-12-07,7882.51,210696,10763,858
168,In-Store,2023-06-13,2023-06-28,4685.46,267803,10546,1097
169,Email,2024-03-15,2024-03-27,1530.09,293446,35872,2812
170,Email,2025-08-10,2025-08-20,7296.3,64152,2192,129
171,Online,2023-05-29,2023-06-19,9016.87,88042,5209,208
172,Email,2022-03-19,2022-04-16,3031.15,377030,26233,2646
173,Email,2022-01-08,2022-01-31,5042.32,221766,29114,4411
174,In-Store,2022-05-24,2022-06-17,531.42,371371,12826,1768
175,Social,2025-03-07,2025-03-31,3667.68,168769,8784,508
176,Social,2025-08-18,2025-08-27,5578.95,188290,4977,236
177,In-Store,2023-08-17,2023-09-13,2177.87,30620,1194,190
178,Email,2023-09-05,2023-10-04,9016.38,340624,38375,4345
179,In-Store,2025-07-19,2025-08-09,1829.46,111236,1197,238
180,Email,2023-05-04,2023-05-26,1098.43,293404,31455,3616
181,Online,2024-07-09,2024-07-16,3723.21,187061,12582,546
182,TV,2022-08-31,2022-09-13,4854.52,365508,9779,307
183,Online,2025-04-01,2025-04-15,850.34,84234,4155,172
184,In-Store,2025-06-20,2025-06-28,7162.32,78439,818,127
185,Email,2023-09-22,2023-10-02,6306.65,447965,45210,7066
186,Email,2022-08-06,2022-08-16,6152.29,332766,18790,2904
187,Email,2024-05-22,2024-06-08,3580.23,368659,36540,2479
188,TV,2023-03-13,2023-03-21,2147.75,43146,345,5
189,Social,2024-04-30,2024-05-12,5757.37,239984,9477,520
190,TV,2022-10-01,2022-10-11,4073.25,92708,499,14
191,In-Store,2022-01-14,2022-01-21,9298.3,380535,11245,2096
192,Email,2024-05-02,2024-05-31,7077.4,118087,5570,474
193,In-Store,2024-07-11,2024-07-31,9411.85,330097,10150,1538
194,Online,2024-10-20,2024-11-15,6458.32,420298,16001,1176
195,In-Store,2025-02-16,2025-03-02,1616.32,287976,11318,1746
196,In-Store,2025-01-10,2025-02-02,4910.05,338447,10078,1140
197,In-Store,2023-02-01,2023-02-11,7009.82,487880,11822,1195
198,Online,2025-10-04,2025-10-12,6626.18,159455,5194,312
199,Online,2025-06-17,2025-07-08,1492.0,37502,2831,153
200,TV,2022-03-01,2022-03-23,1602.62,479279,5215,144
