Customer_ID,Number_Of_Purchases,Total_Quantity,Sales_Revenue,Average_Purchase,Age,Gender,Location,Join_Date,Total_Spent
2059,19,53,2337.61,123.0321052631579,24,Female,Austin,2023-05-13,6317.45
2060,13,35,2095.43,161.18692307692305,68,Male,Philadelphia,2022-09-05,5648.26
2061,14,50,1869.05,133.50357142857143,45,Female,Los Angeles,2024-12-27,7237.19
2062,14,46,2093.17,149.51214285714286,59,Female,New York,2024-11-02,7469.99
2063,17,53,2310.89,135.93470588235294,70,Female,Los Angeles,2024-05-10,7241.01
2064,17,55,2229.41,131.14176470588234,41,Female,Jacksonville,2024-06-06,7139.38
2065,13,31,1657.28,127.48307692307692,45,Male,Jacksonville,2022-11-10,4178.39
2066,11,37,1762.52,160.2290909090909,59,Female,San Jose,2024-12-04,5738.09
2067,18,56,2787.7,154.8722222222222,47,Female,Jacksonville,2024-09-17,8908.93
2068,17,55,2258.99,132.88176470588235,38,Male,Los Angeles,2023-07-04,7641.49
2069,12,30,1589.4099999999999,132.45083333333332,46,Male,San Diego,2023-07-26,3946.09
2070,9,18,1043.29,115.9211111111111,39,Male,San Diego,2024-02-16,2256.53
2071,13,33,1745.96,134.30461538461537,29,Female,Houston,2023-10-28,4191.44
2072,12,34,1835.02,152.91833333333332,69,Female,Philadelphia,2023-12-28,5088.45
2073,16,51,2029.3,126.83125,56,Female,Dallas,2023-07-27,6940.11
2074,13,36,1686.43,129.72538461538463,51,Male,Los Angeles,2022-01-21,4999.76
2075,18,51,2180.05,121.1138888888889,64,Female,San Diego,2023-05-10,6188.79
2076,12,35,1805.6,150.46666666666667,62,Female,Austin,2023-05-08,5008.39
2077,21,63,2438.17,116.10333333333334,46,Male,Los Angeles,2024-10-02,7003.38
2078,8,26,1325.78,165.7225,32,Female,Jacksonville,2023-08-26,3885.74
2079,12,43,1771.32,147.60999999999999,37,Female,San Diego,2023-05-14,6468.15
2080,19,60,2592.7999999999997,136.46315789473684,40,Female,Jacksonville,2024-12-23,8391.27
2081,14,50,2144.81,153.20071428571427,40,Female,Phoenix,2023-11-09,7874.92
2082,11,33,1453.74,132.15818181818182,34,Male,Los Angeles,2023-09-20,4092.22
2083,7,22,745.87,106.55285714285715,38,Male,Jacksonville,2023-01-30,2018.72
2084,12,38,1198.28,99.85666666666667,30,Male,Jacksonville,2023-01-15,4105.9
2085,10,33,1158.74,115.874,35,Female,Los Angeles,2024-09-18,3737.51
2086,12,32,1057.57,88.13083333333333,36,Male,Philadelphia,2023-02-02,3040.78
2087,15,39,1960.32,130.688,37,Male,Jacksonville,2023-01-03,5296.26
2088,12,36,1550.11,129.17583333333332,26,Female,New York,2024-12-29,4653.18
2089,12,31,1478.03,123.16916666666667,53,Female,Jacksonville,2022-04-22,4294.96
2090,10,34,1161.26,116.126,58,Female,Los Angeles,2022-09-16,4413.81
2091,12,41,1516.78,126.39833333333333,54,Female,San Diego,2022-01-26,5171.39
2092,12,32,1791.8400000000001,149.32000000000002,46,Female,Chicago,2024-09-07,4706.83
2093,14,43,2198.77,157.055,34,Female,Los Angeles,2022-04-16,7084.58
2094,16,41,2267.23,141.701875,43,Female,Los Angeles,2022-05-14,6156.44
2095,19,65,2580.19,135.79947368421054,27,Male,San Jose,2022-04-20,8577.66
2096,17,57,2255.86,132.69764705882355,23,Male,Los Angeles,2023-09-15,7116.23
2097,16,42,2261.5,141.34375,56,Male,Dallas,2024-05-02,6414.63
2098,17,49,2350.22,138.24823529411765,46,Female,Phoenix,2024-02-19,7419.6
2099,11,31,1184.68,107.69818181818182,37,Male,San Jose,2024-05-28,2382.21
2100,18,52,2503.46,139.0811111111111,66,Male,Austin,2022-07-23,7417.17
2101,14,35,1884.16,134.58285714285714,34,Male,Chicago,2023-03-09,4403.41
2102,12,33,1431.95,119.32916666666667,29,Male,Chicago,2023-05-07,3510.41
2103,8,26,1168.32,146.04,44,Female,Jacksonville,2022-01-06,3643.94
2104,13,36,1617.8899999999999,124.4530769230769,36,Male,Houston,2024-08-20,4121.98
2105,15,46,1953.96,130.264,63,Female,Jacksonville,2023-08-14,5767.41
2106,16,45,2170.61,135.663125,22,Male,Phoenix,2024-07-18,6336.51
2107,11,27,1220.5700000000002,110.96090909090911,45,Male,Dallas,2023-02-10,2713.07
2108,12,42,1682.19,140.1825,59,Male,Phoenix,2023-04-06,6177.97
2109,16,59,2199.81,137.488125,22,Male,Chicago,2022-10-19,8092.03
2110,15,39,1764.63,117.64200000000001,56,Female,San Diego,2023-09-22,4898.12
2111,15,41,2258.14,150.54266666666666,47,Female,Jacksonville,2022-09-12,6035.69
2112,13,40,1833.47,141.03615384615384,35,Female,San Diego,2024-04-04,5061.36
2113,23,74,2925.36,127.1895652173913,56,Male,San Antonio,2022-06-14,10230.09
2114,17,42,2389.64,140.5670588235294,56,Female,New York,2023-10-23,5837.89
2115,15,43,1923.62,128.24133333333333,32,Male,Austin,2022-07-07,5675.91
2116,16,44,2465.88,154.1175,54,Male,Chicago,2023-07-06,5737.12
2117,21,61,2847.89,135.61380952380952,51,Female,Phoenix,2024-08-21,8429.63
2118,22,67,3438.05,156.275,55,Female,Austin,2023-01-07,10230.23
2119,8,25,950.41,118.80125,23,Female,Philadelphia,2024-10-04,3267.81
2120,11,34,1670.04,151.82181818181817,39,Female,Austin,2024-04-16,5261.03
2121,11,25,1208.5,109.86363636363636,28,Female,San Antonio,2022-08-03,2993.31
2122,16,49,2077.45,129.840625,36,Female,Dallas,2024-10-11,6676.46
2123,15,43,2395.76,159.71733333333336,47,Male,Philadelphia,2022-03-17,6379.96
2124,15,45,2202.39,146.826,38,Male,San Antonio,2023-06-01,6161.6
2125,12,35,1693.72,141.14333333333335,70,Male,Austin,2024-11-19,5139.68
2126,15,55,2017.58,134.50533333333334,44,Male,Houston,2024-08-04,7787.0
2127,21,56,3045.56,145.02666666666667,41,Female,Austin,2024-11-27,8265.22
2128,18,59,2640.61,146.70055555555555,66,Male,Houston,2024-06-24,8040.68
2129,7,18,1099.03,157.00428571428571,53,Male,Phoenix,2023-07-01,2647.17
2130,18,61,2367.66,131.53666666666666,62,Female,Los Angeles,2024-06-16,8209.39
2131,21,63,2780.45,132.40238095238095,58,Male,Jacksonville,2022-03-01,7977.54
2132,19,67,2883.29,151.7521052631579,37,Male,Dallas,2022-11-21,10530.76
2133,12,45,1598.32,133.19333333333333,23,Male,Los Angeles,2024-04-15,6044.83
2134,9,29,1295.69,143.96555555555557,25,Male,San Diego,2024-08-03,4707.89
2135,13,39,1974.12,151.8553846153846,50,Female,San Antonio,2023-08-21,6166.37
2136,18,52,2545.09,141.3938888888889,48,Male,San Diego,2024-09-15,7459.96
2137,16,50,2633.04,164.565,42,Male,San Jose,2022-10-24,7375.67
2138,14,46,1491.51,106.53642857142857,65,Male,Los Angeles,2024-11-06,4785.17
2139,20,71,3503.75,175.1875,67,Female,Philadelphia,2023-07-20,12265.9
2140,19,63,2252.24,118.53894736842103,35,Male,Phoenix,2024-11-05,7434.93
2141,20,64,3015.31,150.7655,55,Female,Chicago,2023-09-04,8693.67
2142,24,88,3176.57,132.35708333333335,52,Female,Philadelphia,2024-07-03,10699.85
2143,22,61,2450.15,111.37045454545455,53,Female,San Diego,2023-11-12,7909.72
2144,11,31,2068.11,188.01000000000002,30,Male,San Jose,2023-10-22,6093.52
2145,7,22,824.53,117.78999999999999,32,Female,New York,2024-02-24,2706.79
2146,14,46,2003.53,143.1092857142857,65,Female,Jacksonville,2023-10-14,6469.74
2147,22,60,2870.14,130.4609090909091,42,Male,San Diego,2024-02-20,7267.73
2148,14,45,2038.42,145.60142857142858,26,Female,Los Angeles,2022-03-17,6651.64
2149,22,77,3889.05,176.775,24,Female,New York,2024-06-20,13959.45
2150,17,50,2362.33,138.96058823529413,44,Male,Los Angeles,2022-10-23,7351.04
2151,22,72,2759.96,125.45272727272727,68,Female,Philadelphia,2024-08-19,9683.92
2152,12,32,1963.94,163.66166666666666,59,Male,Philadelphia,2024-03-25,5049.01
2153,12,42,1539.3,128.275,42,Female,Austin,2024-12-28,5239.05
2154,13,40,1826.19,140.47615384615386,52,Male,San Jose,2024-09-26,5250.73
2155,19,57,3193.54,168.08105263157896,33,Female,Houston,2022-05-21,9795.61
2156,14,47,2083.6,148.82857142857142,45,Male,Austin,2022-07-05,7067.07
2157,23,67,3427.19,149.00826086956522,46,Male,Jacksonville,2022-07-25,10466.0
2158,11,32,1316.96,119.72363636363637,19,Male,Philadelphia,2023-09-06,3988.66
2159,18,60,2532.35,140.6861111111111,36,Female,Philadelphia,2022-04-25,7992.79
2160,15,47,2267.05,151.13666666666668,27,Male,Dallas,2024-06-01,7088.94
2161,16,38,1817.95,113.621875,54,Male,Chicago,2024-04-23,4592.57
2162,17,59,2563.86,150.81529411764706,23,Female,San Jose,2022-12-25,8964.24
2163,14,44,1972.69,140.90642857142856,49,Male,Houston,2023-05-09,6418.79
2164,10,33,1146.73,114.673,58,Female,San Diego,2024-08-02,3124.39
2165,14,40,1741.06,124.36142857142856,60,Male,San Diego,2023-06-07,4828.28
2166,12,35,1631.57,135.96416666666667,61,Male,Los Angeles,2023-08-13,5207.38
2167,10,22,1276.03,127.603,40,Female,Austin,2024-06-23,2860.03
2168,15,38,2348.78,156.58533333333335,62,Female,San Diego,2024-05-18,5089.72
2169,13,50,1468.18,112.93692307692308,30,Female,San Diego,2023-09-11,5550.02
2170,21,69,2715.1,129.2904761904762,33,Female,San Jose,2022-08-07,8361.07
2171,21,55,3443.66,163.98380952380953,54,Female,Jacksonville,2024-01-06,8864.25
2172,17,48,2651.23,155.95470588235295,19,Female,Phoenix,2023-08-28,7860.67
2173,21,74,3178.4,151.35238095238097,54,Male,San Jose,2022-01-17,11163.29
2174,11,33,1339.42,121.76545454545455,36,Male,San Jose,2024-10-14,3893.03
2175,15,44,2110.0,140.66666666666666,32,Male,San Jose,2023-12-23,5499.59
2176,11,39,1378.55,125.32272727272726,61,Male,Austin,2023-05-29,4688.92
2177,13,36,1430.75,110.0576923076923,58,Male,Phoenix,2022-07-18,4018.79
2178,16,54,2078.48,129.905,20,Female,Jacksonville,2024-06-21,7259.4
2179,13,30,1752.24,134.7876923076923,23,Female,Philadelphia,2022-09-27,4315.96
2180,17,52,2369.08,139.35764705882352,29,Male,Chicago,2024-04-30,7644.11
2181,19,66,3131.91,164.83736842105262,51,Female,Chicago,2024-01-20,11074.59
2182,12,35,1763.22,146.935,70,Female,Phoenix,2023-06-11,4950.36
2183,16,52,1994.52,124.6575,69,Male,San Diego,2023-11-25,6079.04
2184,14,35,1818.05,129.8607142857143,27,Male,Austin,2022-06-04,4442.59
2185,20,45,2936.56,146.828,69,Female,Los Angeles,2024-03-24,6276.9
2186,8,24,1372.79,171.59875,18,Female,Dallas,2024-03-19,4065.6
2187,15,43,1990.97,132.73133333333334,47,Female,Austin,2022-09-11,5852.02
2188,19,55,2482.63,130.66473684210527,55,Female,Austin,2023-06-21,6734.0
2189,14,45,1833.36,130.9542857142857,24,Male,San Diego,2024-01-31,5522.08
2190,15,49,1954.45,130.29666666666668,57,Female,San Jose,2022-02-21,6444.48
2191,14,43,1998.19,142.72785714285715,59,Male,Austin,2023-03-30,6457.29
2192,18,47,2315.57,128.64277777777778,62,Female,Austin,2024-08-08,5963.87
2193,15,41,2213.86,147.59066666666666,25,Male,New York,2024-04-16,6515.22
2194,9,35,1090.1,121.1222222222222,37,Female,Los Angeles,2022-03-18,4249.55
2195,20,52,2065.75,103.2875,33,Male,San Antonio,2022-07-19,6013.99
2196,13,35,1841.53,141.65615384615384,41,Female,San Jose,2024-07-18,4152.88
2197,9,27,859.6,95.51111111111112,44,Male,San Diego,2022-11-13,2828.36
2198,5,20,472.51,94.502,35,Male,Jacksonville,2024-04-15,1867.21
2199,21,69,2988.81,142.3242857142857,31,Female,San Diego,2024-01-29,9943.0
2200,15,44,1752.76,116.85066666666667,41,Male,Austin,2023-04-29,5677.66
2201,23,64,3312.64,144.0278260869565,52,Female,New York,2024-01-23,8707.94
2202,10,31,1256.29,125.62899999999999,35,Male,Los Angeles,2024-03-26,3501.99
2203,14,44,2311.35,165.09642857142856,23,Male,Austin,2024-07-20,7102.78
2204,12,32,1530.1399999999999,127.51166666666666,21,Female,Houston,2022-02-13,4293.02
2205,12,44,1591.55,132.62916666666666,68,Male,Los Angeles,2022-09-15,5569.49
2206,16,36,2105.43,131.589375,55,Male,Houston,2023-03-01,5022.7
2207,7,22,1040.0,148.57142857142858,67,Male,San Jose,2023-11-04,3377.33
2208,19,56,2439.39,128.38894736842104,35,Male,Chicago,2022-01-06,7169.95
2209,13,33,1568.76,120.67384615384616,69,Male,Los Angeles,2023-05-29,4188.77
2210,17,63,2506.31,147.43,26,Male,Philadelphia,2022-02-22,8595.88
2211,15,47,1985.13,132.342,55,Female,New York,2023-05-03,6769.06
2212,12,34,1092.47,91.03916666666667,34,Male,Chicago,2022-12-23,3690.81
2213,19,60,2267.0299999999997,119.31736842105262,51,Male,Jacksonville,2024-05-12,6169.72
2214,12,38,1274.3799999999999,106.19833333333332,48,Female,Philadelphia,2022-05-11,4388.02
2215,17,53,2169.34,127.60823529411766,55,Male,San Diego,2024-11-17,7072.54
2216,14,46,2050.67,146.47642857142858,32,Male,Jacksonville,2024-10-28,6523.92
2217,20,63,2667.77,133.3885,37,Female,Austin,2024-12-03,8047.85
2218,12,38,1633.51,136.12583333333333,21,Female,San Antonio,2022-03-05,5331.98
2219,19,64,2710.0299999999997,142.63315789473683,61,Male,San Diego,2024-05-23,8853.25
2220,9,27,1106.32,122.92444444444443,22,Male,Philadelphia,2024-06-27,3004.23
2221,10,31,1315.18,131.518,22,Male,Phoenix,2022-10-31,3939.13
2222,11,42,1287.22,117.02,42,Female,San Diego,2023-10-28,5278.55
2223,11,32,1778.25,161.6590909090909,56,Female,Los Angeles,2024-11-01,4577.02
2224,11,24,1519.1399999999999,138.10363636363635,59,Male,San Antonio,2022-08-23,2700.09
2225,9,28,1621.56,180.17333333333332,32,Female,Philadelphia,2024-07-13,4581.63
2226,16,43,1995.89,124.743125,43,Female,Jacksonville,2024-07-17,5361.35
2227,11,39,1418.89,128.99,38,Female,Philadelphia,2022-07-14,4637.15
2228,20,54,2919.07,145.95350000000002,41,Male,Austin,2023-06-07,8200.6
2229,19,56,2868.8,150.98947368421054,22,Male,Los Angeles,2024-08-29,8750.28
2230,17,64,2384.67,140.27470588235295,45,Male,Jacksonville,2022-07-10,9162.97
2231,23,71,3040.67,132.20304347826087,69,Male,Dallas,2024-02-03,9889.19
2232,17,52,2474.87,145.5805882352941,55,Female,Austin,2022-05-03,7639.37
2233,24,74,3387.81,141.15875,44,Female,Austin,2022-09-08,10785.28
2234,18,56,2596.17,144.23166666666668,64,Male,Phoenix,2024-05-16,8494.7
2235,17,53,2199.04,129.35529411764705,40,Male,San Jose,2023-10-02,6940.33
2236,16,59,2085.5,130.34375,31,Male,Austin,2024-11-05,8101.62
2237,13,37,1779.77,136.9053846153846,32,Male,Philadelphia,2024-09-14,5928.51
2238,24,67,3681.33,153.38875,25,Female,San Jose,2024-01-23,9972.44
2239,17,62,2827.85,166.34411764705882,69,Female,Dallas,2023-04-09,10303.09
2240,11,31,1345.1,122.28181818181817,56,Female,New York,2022-02-23,3829.91
2241,16,50,2239.4,139.9625,35,Female,Philadelphia,2023-01-05,7259.87
2242,12,41,2021.36,168.44666666666666,18,Male,Chicago,2023-12-20,6958.8
2243,19,56,2534.75,133.4078947368421,22,Male,Jacksonville,2024-03-31,6559.13
2244,19,63,1775.69,93.45736842105264,23,Male,San Antonio,2022-03-04,5714.8
2245,23,56,2966.03,128.95782608695654,47,Female,Chicago,2024-05-09,7041.43
2246,7,23,888.9100000000001,126.98714285714287,37,Female,San Jose,2024-01-28,3001.43
2247,9,27,778.36,86.48444444444445,21,Male,Chicago,2022-06-23,2590.43
2248,27,89,3498.03,129.55666666666667,61,Male,Phoenix,2022-04-12,10925.12
2249,17,36,2180.61,128.27117647058824,60,Female,San Diego,2024-06-26,4469.18
2250,21,67,2824.87,134.51761904761904,44,Female,Houston,2024-06-24,9232.84
2251,12,30,1891.06,157.58833333333334,25,Female,San Antonio,2024-11-15,4662.88
2252,18,54,2587.94,143.77444444444444,36,Female,Dallas,2022-08-16,7498.71
2253,18,48,2830.9900000000002,157.27722222222224,20,Male,San Antonio,2023-09-24,7136.74
2254,12,35,2022.94,168.57833333333335,18,Male,Phoenix,2022-04-23,5772.21
2255,11,31,1223.05,111.18636363636364,67,Male,Phoenix,2023-03-09,3713.29
2256,15,52,2575.27,171.68466666666666,38,Male,New York,2023-08-16,8847.78
2257,12,37,1281.6200000000001,106.80166666666668,65,Female,Chicago,2024-10-15,4020.11
2258,15,46,2399.06,159.93733333333333,42,Male,Dallas,2022-09-22,7016.98
2259,22,64,2451.9,111.45,22,Female,Jacksonville,2023-12-27,7415.63
2260,18,53,2548.25,141.56944444444446,45,Male,San Diego,2022-03-28,7398.03
2261,10,26,930.29,93.029,38,Female,San Jose,2022-06-09,2176.57
2262,17,53,2660.46,156.49764705882353,63,Female,Phoenix,2024-04-08,8011.09
2263,16,50,2364.93,147.808125,43,Male,Philadelphia,2022-08-24,7914.94
2264,12,39,1490.21,124.18416666666667,69,Female,Jacksonville,2022-12-18,5275.16
2265,13,41,1337.14,102.85692307692308,23,Female,Los Angeles,2024-01-12,4902.35
2266,16,45,2096.07,131.004375,45,Female,Dallas,2023-05-14,5407.78
2267,11,33,1493.88,135.80727272727273,43,Female,Jacksonville,2022-06-11,4675.33
2268,9,29,1185.27,131.69666666666666,32,Female,Chicago,2023-11-27,3921.67
2269,20,54,2550.36,127.518,50,Male,Dallas,2022-06-06,6893.71
2270,17,41,2591.47,152.43941176470588,30,Female,Philadelphia,2024-11-10,5804.84
2271,15,50,1469.9,97.99333333333334,33,Male,Chicago,2022-10-30,5051.71
2272,15,53,1848.99,123.266,30,Male,San Jose,2023-06-09,7112.41
2273,18,57,1738.77,96.59833333333333,66,Male,Chicago,2022-11-10,5957.69
2274,8,19,990.3,123.7875,47,Female,Austin,2024-10-08,2398.3
2275,20,64,2674.38,133.719,58,Female,Chicago,2023-10-24,8091.06
2276,9,30,1173.75,130.41666666666666,22,Female,San Diego,2024-06-19,4444.11
2277,18,50,2120.7200000000003,117.81777777777779,68,Female,San Jose,2023-09-13,6019.08
2278,10,34,1342.13,134.21300000000002,40,Male,Phoenix,2022-04-26,4064.86
2279,13,36,2049.64,157.6646153846154,46,Male,New York,2024-08-03,6060.09
2280,12,30,1827.21,152.2675,36,Male,Austin,2024-01-26,3910.2
2281,16,45,2002.4,125.15,57,Female,San Diego,2022-07-04,5777.02
2282,20,63,2908.14,145.40699999999998,46,Male,Philadelphia,2022-03-26,9315.65
2283,17,48,2055.6,120.91764705882352,50,Male,New York,2024-09-01,6113.65
2284,9,28,1039.3600000000001,115.48444444444446,24,Female,Jacksonville,2024-07-11,3059.23
2285,10,27,923.07,92.307,50,Male,New York,2022-06-22,2462.46
2286,14,32,2193.31,156.665,63,Female,San Diego,2023-05-23,5224.0
2287,21,74,2722.55,129.6452380952381,51,Male,Philadelphia,2024-12-09,9864.57
2288,16,57,2516.09,157.255625,36,Female,San Antonio,2024-02-03,9695.88
2289,12,35,1510.59,125.8825,61,Male,Austin,2023-11-24,3774.59
2290,9,29,1778.2,197.57777777777778,22,Female,Los Angeles,2023-11-17,5429.17
2291,21,58,2864.96,136.42666666666668,36,Female,Jacksonville,2024-03-02,8381.31
2292,20,60,2108.09,105.40450000000001,39,Male,San Jose,2022-11-04,6502.19
2293,17,60,2995.36,176.19764705882355,40,Female,Austin,2022-10-17,10683.73
2294,13,44,1610.6,123.89230769230768,26,Male,Phoenix,2024-03-13,5732.33
2295,6,15,1032.63,172.10500000000002,59,Female,Chicago,2024-02-11,2412.81
2296,18,62,2351.38,130.63222222222223,23,Female,Dallas,2024-12-14,8038.11
2297,7,21,832.45,118.92142857142858,19,Female,Phoenix,2024-01-12,1926.23
2298,13,43,1536.94,118.22615384615385,31,Female,San Diego,2023-01-05,5124.95
2299,10,28,990.48,99.048,32,Male,Chicago,2023-01-29,2538.3
2300,11,27,1266.08,115.09818181818181,36,Male,Dallas,2022-06-08,2557.18
2301,16,50,1997.67,124.854375,20,Female,San Jose,2024-12-14,6236.07
2302,13,30,1368.08,105.23692307692308,56,Female,Chicago,2022-09-26,3238.4
2303,22,59,2843.02,129.2281818181818,29,Male,Jacksonville,2022-11-29,6882.73
2304,17,54,2558.2400000000002,150.48470588235296,20,Female,Philadelphia,2024-06-15,8146.38
2305,18,54,2340.88,130.04888888888888,46,Female,Jacksonville,2023-05-02,6833.24
2306,17,53,2283.73,134.33705882352942,32,Male,Phoenix,2024-07-08,7793.21
2307,12,38,1714.81,142.90083333333334,30,Female,Austin,2024-08-18,5277.8
2308,16,44,2830.59,176.911875,47,Female,San Antonio,2024-06-21,7308.6
2309,16,54,1889.51,118.094375,51,Female,Chicago,2024-10-26,6337.0
2310,20,53,2540.97,127.04849999999999,69,Male,Phoenix,2023-02-13,6906.01
2311,14,46,1630.7,116.47857142857143,59,Female,Philadelphia,2022-04-17,5489.94
2312,16,43,2017.68,126.105,63,Male,Phoenix,2022-07-30,4747.85
2313,15,33,2150.7799999999997,143.3853333333333,66,Male,Phoenix,2022-06-21,4171.42
2314,13,41,1377.91,105.99307692307693,50,Male,San Antonio,2024-07-09,3966.25
2315,14,41,1610.47,115.03357142857143,32,Female,Philadelphia,2022-07-07,4686.31
2316,10,27,985.9300000000001,98.593,44,Male,San Antonio,2022-02-24,2385.9
2317,11,33,1305.43,118.67545454545456,41,Male,San Antonio,2024-10-25,3648.54
2318,15,46,2085.32,139.02133333333333,41,Male,New York,2022-06-17,6645.23
2319,10,31,1450.74,145.074,24,Female,Chicago,2023-10-15,4792.71
2320,21,57,2561.26,121.96476190476191,20,Female,San Diego,2022-10-09,6299.33
2321,14,48,2116.48,151.17714285714285,66,Female,San Diego,2022-10-12,6773.95
2322,15,43,2773.9700000000003,184.93133333333336,23,Male,Phoenix,2022-01-11,7716.94
2323,17,51,2128.6,125.21176470588235,27,Female,Los Angeles,2023-03-18,5745.58
2324,6,19,742.2,123.7,33,Female,Los Angeles,2023-08-14,2338.06
2325,12,35,1821.94,151.82833333333335,33,Female,Austin,2022-04-08,5035.64
2326,15,42,1966.8400000000001,131.12266666666667,22,Male,San Diego,2024-07-25,5969.3
2327,8,26,1177.09,147.13625,58,Male,Jacksonville,2022-02-03,4379.56
2328,18,52,2441.02,135.61222222222221,36,Female,New York,2022-10-22,7342.76
2329,6,16,751.89,125.315,33,Female,Chicago,2023-12-24,2434.99
2330,16,48,2179.14,136.19625,51,Female,Los Angeles,2022-06-25,6303.58
2331,14,47,2064.53,147.4664285714286,52,Male,San Antonio,2024-12-13,7570.35
2332,17,52,2366.13,139.18411764705883,20,Female,Philadelphia,2024-08-20,7826.68
